r/R,UzMean,Tmean,RSS,THFr,TKE,Pk,Bk
1.0,0.00204765416666667,297.440625,-1.15989145833333e-06,-1.07145689583333,0.000430805185330371,-0.00157725395833333,0.00204765416666667
0.996666666666667,0.00343437916666667,297.647272727273,3.5796463636363603e-06,-9.21714738257576,0.00151096455539321,0.00522495034090909,0.00343437916666667
0.993333333333333,0.00826683706896552,298.88883620689603,5.5710684482758606e-05,-71.3485404741379,0.00681950057899314,0.0817929978448276,0.00826683706896552
0.99,0.0132509913793103,300.166637931034,0.000260515150862069,-288.031639655172,0.0163512595916859,0.39125948275862105,0.0132509913793103
0.986666666666667,0.0184639955357143,301.463571428571,0.000755670446428571,-921.169285714286,0.030445559397808502,1.16361013392857,0.0184639955357143
0.983333333333333,0.0240710818965517,302.79400862069,0.0017473590517241401,-2428.3453879310396,0.050137657308155004,2.7715900862069,0.0240710818965517
0.98,0.0301411939655172,304.072112068965,0.0034818185344827604,-5142.18922413793,0.0772670453777424,5.762145689655171,0.0301411939655172
0.976666666666667,0.0357042794117647,305.105588235294,0.00554452132352941,-8052.4044117647,0.1071919316531,9.73503382352942,0.0357042794117647
0.9733333333333329,0.0397472445652174,305.667663043478,0.007454636413043479,-10421.2255434783,0.130992897073611,13.5258565217391,0.0397472445652174
0.97,0.0464722453703704,306.519490740741,0.0111648236111111,-14020.160648148101,0.176406045075521,21.372592592592603,0.0464722453703704
0.966666666666667,0.0541440416666667,307.283703703704,0.0155400453703704,-17239.3657407407,0.22892305607580696,31.1395648148148,0.0541440416666667
0.9633333333333329,0.06129490625,307.925078125,0.0193557890625,-19048.0625,0.278105399843199,40.3635234375,0.06129490625
0.96,0.066493375,308.245815217391,0.022637375,-20652.1576086957,0.308661920019998,47.0784347826087,0.066493375
0.956666666666667,0.074124859375,308.726927083333,0.027593984375,-22467.015625,0.357402461997474,56.5424375,0.074124859375
0.953333333333333,0.0814323671875,309.211640625,0.0313183984375,-23202.5625,0.39905235283548907,64.1475703125,0.0814323671875
0.95,0.0874190961538462,309.488990384616,0.0348810913461539,-24087.144230769198,0.42450603835599904,69.0716778846154,0.0874190961538462
