z/D,Tb,hb,Reb,Ub,tau_w,Cf,Tw,Nub,G,p
0.0124999999999995,342.05,474090.0,5401.35706050429,0.3073,0.0767397531380753,0.0370812018963162,318.710460251046,185.031048132344,53.875836,8
0.3375,341.168839057738,472607.678115477,5401.35706050429,0.304877772261185,0.0914553041666666,0.0445429627839508,304.193333333333,116.541425466121,53.875836,8
0.6625,340.297552192295,471106.736256394,5401.08631578948,0.302412848734204,0.103860283333333,0.050997070443885,296.649458333333,98.4881439152439,53.875836,8
0.9875,339.436299548575,469621.732731433,5400.27424447452,0.299979709266545,0.106397758333333,0.0526667552730073,292.6035,91.5588989530326,53.875836,8
1.3125,338.585236286938,468130.31504925,5399.19186250439,0.297541998897574,0.10713425,0.0534657941684083,289.685333333333,87.4469015251297,53.875836,8
1.6375,337.744514376547,466640.857294244,5397.79005069015,0.295098258125859,0.1072257,0.0539545666663129,287.37525,84.6470787741333,53.875836,8
1.9625,336.914296891252,465155.74222813,5395.67711567351,0.292658071916449,0.106970454166667,0.0542749331730088,285.495125,82.6604314773291,53.875836,8
2.2875,336.094740490707,463661.234151179,5393.4691377164,0.290205779357945,0.106329029166667,0.0544053685111977,284.115416666667,81.4956632858069,53.875836,8
2.6125,335.286002853037,462171.337137382,5390.54840162089,0.287777779547758,0.1053416125,0.0543548960356594,283.487708333333,81.4928790151303,53.875836,8
2.9375,334.48823379259,460680.389654316,5387.31423428829,0.285329664124219,0.105202941666667,0.054749092294726,283.570166666667,82.5917113054717,53.875836,8
3.2625,333.701576963377,459183.942408443,5383.54594054459,0.282892891989109,0.106257933333333,0.055774449718472,283.881083333333,84.0747842806949,53.875836,8
3.5875,332.926191907376,457700.319845627,5379.30119670304,0.280457707981111,0.108062125,0.0572139705112452,284.138458333333,85.4969695492481,53.875836,8
3.9125,332.162212404146,456210.531010365,5374.57997042923,0.27802095713997,0.1099985,0.0587496378087601,284.454041666667,87.0464961835103,53.875836,8
4.2375,331.409794530388,454714.48632597,5369.45891800015,0.275578854888791,0.112000625,0.0603490613698669,284.911958333334,88.8949362846807,53.875836,8
4.5625,330.669090671332,453227.726678331,5363.71506794763,0.273158702159326,0.11438725,0.0621811204402833,285.434166666667,90.9332238347433,53.875836,8
4.8875,329.940216102245,451733.693503742,5357.49427012702,0.270706225507217,0.116543083333333,0.0639269854310773,285.917708333334,92.9534442903407,53.875836,8
5.2125,329.22331508938,450246.630178759,5350.95909504505,0.268288092809553,0.118408333333333,0.0655355328299405,286.339333333333,94.909513512111,53.875836,8
