z/D,Tb,hb,Reb,Ub,tau_w,Cf,Tw,Nub,G,p
0.0124999999999995,342.05,474090.0,5401.35706050429,0.3073,0.070234769874477,0.0339379470920475,317.629958158996,176.844066475928,53.875836,8
0.3375,341.168839057738,472607.678115477,5401.35706050429,0.304877772261185,0.0206040726583333,0.0100351362884917,296.723375,96.9542839929604,53.875836,8
0.6625,340.297552192295,471106.736256394,5401.08631578948,0.302412848734204,-0.034120809625,-0.0167538666004202,288.014541666667,82.2221158726177,53.875836,8
0.9875,339.436299548575,469621.732731433,5400.27424447452,0.299979709266545,-0.0513024125,-0.0253946290446035,290.839333333333,88.2351285585142,53.875836,8
1.3125,338.585236286938,468130.31504925,5399.19186250439,0.297541998897574,-0.0214980208333333,-0.0107286769348099,293.2020,94.2230071724306,53.875836,8
1.6375,337.744514376547,466640.857294244,5397.79005069015,0.295098258125859,-0.00849112776666667,-0.00427262418579498,292.902583333334,95.0808983977063,53.875836,8
1.9625,336.914296891252,465155.74222813,5395.67711567351,0.292658071916449,-0.00574006037916666,-0.00291240600888639,292.7855,96.3164924983581,53.875836,8
2.2875,336.094740490707,463661.234151179,5393.4691377164,0.290205779357945,-0.00261528825,-0.00133816439517404,292.9850,98.2629313925248,53.875836,8
2.6125,335.286002853037,462171.337137382,5390.54840162089,0.287777779547758,0.0011895745125,0.000613804909751193,293.088583333333,100.034366947801,53.875836,8
2.9375,334.48823379259,460680.389654316,5387.31423428829,0.285329664124219,0.00380015478333333,0.00197765406243277,293.225416666667,101.917672936947,53.875836,8
3.2625,333.701576963377,459183.942408443,5383.54594054459,0.282892891989109,0.00630600849166667,0.00331000370992899,293.327833333333,103.746813599587,53.875836,8
3.5875,332.926191907376,457700.319845627,5379.30119670304,0.280457707981111,0.0075498201,0.00399728567772109,293.285375,105.224959957387,53.875836,8
3.9125,332.162212404146,456210.531010365,5374.57997042923,0.27802095713997,0.007611684625,0.00406536193523783,293.28075,106.807430719978,53.875836,8
4.2375,331.409794530388,454714.48632597,5369.45891800015,0.275578854888791,0.0079908107,0.00430567173468264,293.254375,108.331194807614,53.875836,8
4.5625,330.669090671332,453227.726678331,5363.71506794763,0.273158702159326,0.00844887745833333,0.00459282539637783,293.313041666667,110.11221955379,53.875836,8
4.8875,329.940216102245,451733.693503742,5357.49427012702,0.270706225507217,0.00989216479166667,0.0054261158743328,293.439791666667,112.109483292197,53.875836,8
5.2125,329.22331508938,450246.630178759,5350.95909504505,0.268288092809553,0.0101608204166667,0.00562371550422061,293.341791666667,113.43157864229,53.875836,8
5.5375,328.51851454045,448756.286351125,5343.7450458314,0.265862878750824,0.00807278729166667,0.00450880830401858,293.1390,114.391865657358,53.875836,8
5.8625,327.825953252417,447269.922087362,5335.87852139531,0.263430769551425,0.00931354410416667,0.00524982032199308,293.317125,116.58228787482,53.875836,8
6.1875,327.145730665024,445771.461330049,5327.3466755208,0.261001094734239,0.01000669725,0.00569304211195138,293.3305,118.235740411811,53.875836,8
6.5125,326.477978196736,444285.956393472,5318.58345740434,0.258584908784377,0.00851098529166667,0.00488734085932168,293.1560,119.213931520446,53.875836,8
6.8375,325.822755783354,442795.511566707,5309.05830578933,0.256170209833903,0.00842214118333333,0.0048819110044577,293.229875,121.058485837444,53.875836,8
7.1625,325.180217805403,441300.435610805,5299.00573464281,0.253756947525784,0.00745699846333334,0.00436357130206617,293.076375,122.038153873173,53.875836,8
7.4875,324.550493872771,439801.481618313,5288.43843835949,0.251335755325358,0.00684610266666667,0.0040446886487853,292.97825,123.179036843784,53.875836,8
7.8125,323.933619301765,438317.238603531,5277.26448457323,0.248936879441703,0.00710328321666667,0.00423707210268502,293.03975,124.926821530196,53.875836,8
8.1375,323.329696135387,436829.392270773,5265.33474516995,0.246536453845638,0.0076279171625,0.00459431520687746,293.124666666667,126.763760838505,53.875836,8
8.4625,322.738797246891,435333.860242746,5252.91287348536,0.244138502789293,0.00774831437916667,0.00471266882266866,293.057166666667,127.933299403851,53.875836,8
8.7875,322.160996446304,433848.487562066,5239.84604758428,0.241752851425455,0.00712659570833333,0.0043773017069134,292.952916666667,128.898602473861,53.875836,8
9.1125,321.596327899982,432351.431766626,5226.25759644656,0.23936067066064,0.00710033820833333,0.00440475956749967,292.930083333333,130.164764726436,53.875836,8
9.4375,321.044869305682,430858.028379924,5211.85495329207,0.236976127918693,0.00660006664166667,0.00413561104392707,292.87875,131.258909320409,53.875836,8
9.7625,320.50666074756,429373.312616459,5197.02583233882,0.234606542155356,0.00581768735833333,0.00368219025957652,292.791666666667,132.125187762854,53.875836,8
10.0875,319.981723824207,427881.26353122,5181.40821233364,0.232246442808308,0.006625583225,0.00423614685542812,292.806916666667,133.427306503945,53.875836,8
10.4125,319.470099167163,426400.231390048,5165.22411658517,0.229895144835492,0.00671528224583334,0.00433740959861396,292.776166666667,134.454652074919,53.875836,8
10.7375,318.971787785399,424904.76742773,5148.48260491197,0.227542288990317,0.00596224037083333,0.00389083956086897,292.697333333333,135.159751449653,53.875836,8
11.0625,318.486792806493,423404.780817315,5130.84607789574,0.225179551464841,0.00589599316529167,0.00388797967964374,292.693875,136.179412382038,53.875836,8
11.3875,318.015124569865,421920.498279459,5112.53555577778,0.22284687013093,0.006382273,0.00425270054671741,292.706583333333,137.233783242658,53.875836,8
11.7125,317.556745361563,420420.354127034,5093.60283362606,0.220510897328303,0.00667137744583334,0.00449243105345969,292.562625,137.343272956736,53.875836,8
12.0375,317.111642698687,418932.392144093,5074.22739547788,0.218189094871315,0.00589883939583333,0.00401448182571723,292.440458333333,137.487785880081,53.875836,8
12.3625,316.679768159183,417446.048424488,5053.93020975822,0.215882295834111,0.006018777425,0.00413987492339804,292.401125,137.995647188072,53.875836,8
12.6875,316.261076712542,415949.845206438,5033.08411207606,0.213571473582564,0.00492265023458333,0.003422564960674,292.244458333333,137.737042814077,53.875836,8
13.0125,315.855499865066,414454.749392798,5011.5599816723,0.211269087913769,0.0038345201,0.00269507605813554,292.126541666667,137.587660228313,53.875836,8
13.3375,315.462967726349,412968.354768571,4989.40196110108,0.208996618451352,0.00316899809166667,0.00225153489974304,291.997208333333,137.28161175654,53.875836,8
13.6625,315.083387877176,411474.626257252,4966.45865764866,0.20671766931913,0.00283214904166667,0.00203439120334048,292.025333333333,137.789466301368,53.875836,8
13.9875,314.716668970696,409991.67933883,4943.11537069962,0.204467566710075,0.00248259860416667,0.00180292658636142,291.864958333333,137.084665891088,53.875836,8
14.3125,314.362684869861,408493.424349303,4918.83665378703,0.202208682160738,0.002955130625,0.00217006553038587,291.93575,137.658248506359,53.875836,8
14.6375,314.021328806829,407005.315227317,4894.10029600033,0.199976930784215,0.00263382205416666,0.00195570117205012,291.749625,136.574944921049,53.875836,8
14.9625,313.692427466023,405502.234042086,4868.31197698449,0.197723580690618,0.002464585125,0.00185089303421993,291.724291666667,136.341584128616,53.875836,8
15.2875,313.375868367944,404023.473471774,4842.3269607907,0.195527406254549,0.001048587,0.000796329482141629,291.517958333333,134.920662416618,53.875836,8
15.6125,313.07147484403,402535.899376119,4815.60776829887,0.19332736068511,0.000551078383333334,0.000423268567578662,291.437416666667,134.158529215336,53.875836,8
15.9375,312.779064167646,401039.2780598,4787.96805342743,0.191126733734292,0.0001295378625,0.000100640144872842,291.262125,132.690676281276,53.875836,8
16.2625,312.498437699028,399523.23002912,4759.6276060593,0.188928228554965,-0.00119735546666667,-0.000941070616827769,291.110333333333,131.251571697974,53.875836,8
16.5875,312.229417501374,398053.948339744,4731.15498713974,0.186788247826333,-0.00192115925833333,-0.00152724877201292,290.923875,129.55547346053,53.875836,8
16.9125,311.971765599123,396568.827995614,4701.99180471046,0.18465136647314,-0.00302611280458333,-0.00243348431899458,291.006625,129.396302406564,53.875836,8
17.2375,311.725260915067,395076.304575335,4671.98306828485,0.182508155249087,-0.00333152958333333,-0.00271054962912187,290.812958333333,127.434306911741,53.875836,8
17.5625,311.489658037925,393564.842868933,4641.09573533614,0.180367110679692,-0.00532089442916667,-0.00438049570332749,290.6905,125.807451893545,53.875836,8
17.8875,311.264718287482,392085.105443595,4610.14025624992,0.178281318105889,-0.00530508908333334,-0.00441858088460942,290.56475,124.123148273166,53.875836,8
18.2125,311.050171325133,390571.456263631,4578.00132176366,0.176159053361807,-0.00691515525,-0.00582898491883639,290.343541666667,121.73976149317,53.875836,8
18.5375,310.845747031898,389083.064535355,4545.72123685945,0.174087726189484,-0.00761915025833334,-0.00649881763545982,290.31525,120.472432519213,53.875836,8
18.8625,310.651162127716,387581.621277163,4512.84459238827,0.172027502280402,-0.007479457975,-0.00645606965483468,290.136625,118.250987757836,53.875836,8
19.1875,310.466135630827,386119.424123682,4480.12830696842,0.170024790849604,-0.0081011397375,-0.00707505530263003,290.131625,117.02416939596,53.875836,8
19.5125,310.290353147198,384609.256412782,4445.62608153943,0.167973509607742,-0.00985065539583334,-0.00870803758502181,289.853208333333,114.111163544383,53.875836,8
19.8375,310.123526704264,383137.038066021,4411.80788232974,0.166001924693215,-0.0108809133325,-0.00973303292282659,289.709958333333,112.003790767268,53.875836,8
20.1625,309.965326446997,381643.917363968,4376.86169630665,0.164004645216785,-0.0107417265875,-0.00972554414875155,289.568416666667,109.826540889518,53.875836,8
20.4875,309.815444545478,380150.779091209,4341.50422518847,0.162033971912923,-0.0123598282791667,-0.0113266719860011,289.488916666667,107.9607527261,53.875836,8
20.8125,309.673568827753,378662.119449774,4305.67862107279,0.160086529990968,-0.012425793125,-0.011525646426874,289.318625,105.602008219508,53.875836,8
21.1375,309.539361605839,377140.708321162,4268.65425098455,0.158112497752225,-0.0136845192083333,-0.0128516624090337,289.183708333333,103.364009195652,53.875836,8
21.4625,309.412495333441,375663.677668341,4232.21353454354,0.156214956263629,-0.0144453440625,-0.0137309708010345,289.081791666667,101.351526950661,53.875836,8
