z/D,Tb,hb,Reb,Ub,tau_w,Cf,Tw,Nub,G,p
0.0124999999999995,342.05,474090.0,5401.35706050429,0.3073,0.0798519874476988,0.0385850559493276,318.929330543933,186.782632349007,53.875836,8
0.3375,341.168839057738,472607.678115477,5401.35706050429,0.304877772261185,0.118300833333333,0.0576179770489204,305.939416666667,122.317592852303,53.875836,8
0.6625,340.297552192295,471106.736256394,5401.08631578948,0.302412848734204,0.170077041666667,0.0835105643504333,299.532541666667,105.453664654517,53.875836,8
0.9875,339.436299548575,469621.732731433,5400.27424447452,0.299979709266545,0.198646833333333,0.0983299302617625,296.1955,99.1646686999555,53.875836,8
1.3125,338.585236286938,468130.31504925,5399.19186250439,0.297541998897574,0.218494166666667,0.109040424906114,293.973875,95.8532731307682,53.875836,8
1.6375,337.744514376547,466640.857294244,5397.79005069015,0.295098258125859,0.234198791666667,0.117845761959578,292.24475,93.7062234914436,53.875836,8
1.9625,336.914296891252,465155.74222813,5395.67711567351,0.292658071916449,0.247343875,0.12549794605398,290.803791666667,92.1770627763938,53.875836,8
2.2875,336.094740490707,463661.234151179,5393.4691377164,0.290205779357945,0.258728458333333,0.132383576058944,289.565416666667,91.0412858825865,53.875836,8
2.6125,335.286002853037,462171.337137382,5390.54840162089,0.287777779547758,0.268837125,0.138716444841781,288.477458333334,90.1799488063009,53.875836,8
2.9375,334.48823379259,460680.389654316,5387.31423428829,0.285329664124219,0.27796125,0.144654948706907,287.496583333333,89.4927132628197,53.875836,8
3.2625,333.701576963377,459183.942408443,5383.54594054459,0.282892891989109,0.286394083333333,0.150327339328479,286.589416666667,88.9079852913501,53.875836,8
3.5875,332.926191907376,457700.319845627,5379.30119670304,0.280457707981111,0.294310416666667,0.155823953122511,285.738833333333,88.396627779273,53.875836,8
3.9125,332.162212404146,456210.531010365,5374.57997042923,0.27802095713997,0.301793333333333,0.161186280053198,284.937208333333,87.937082986699,53.875836,8
4.2375,331.409794530388,454714.48632597,5369.45891800015,0.275578854888791,0.308907666666667,0.166448068778983,284.178041666667,87.5136308838446,53.875836,8
4.5625,330.669090671332,453227.726678331,5363.71506794763,0.273158702159326,0.315732625,0.171632838293182,283.455041666667,87.1214724510789,53.875836,8
4.8875,329.940216102245,451733.693503742,5357.49427012702,0.270706225507217,0.322305666666667,0.176793243048346,282.7640,86.7395493218429,53.875836,8
5.2125,329.22331508938,450246.630178759,5350.95909504505,0.268288092809553,0.328674666666667,0.181911769225447,282.101458333333,86.3738852015074,53.875836,8
5.5375,328.51851454045,448756.286351125,5343.7450458314,0.265862878750824,0.334866,0.187029156966896,281.462875,86.0073035635761,53.875836,8
5.8625,327.825953252417,447269.922087362,5335.87852139531,0.263430769551425,0.3408725,0.192141612010835,280.846333333334,85.6353916118374,53.875836,8
6.1875,327.145730665024,445771.461330049,5327.3466755208,0.261001094734239,0.346731333333333,0.197263495925163,280.249208333333,85.2551241773744,53.875836,8
6.5125,326.477978196736,444285.956393472,5318.58345740434,0.258584908784377,0.352506708333333,0.202423148411424,279.666875,84.8611495049846,53.875836,8
6.8375,325.822755783354,442795.511566707,5309.05830578933,0.256170209833903,0.358211291666667,0.2076378926263,279.095625,84.4401256950007,53.875836,8
7.1625,325.180217805403,441300.435610805,5299.00573464281,0.253756947525784,0.363865916666667,0.212921442799511,278.534291666667,83.99219465711,53.875836,8
7.4875,324.550493872771,439801.481618313,5288.43843835949,0.251335755325358,0.369454625,0.218274396505116,277.981916666667,83.5120766956822,53.875836,8
7.8125,323.933619301765,438317.238603531,5277.26448457323,0.248936879441703,0.3750165,0.223695423894731,277.438125,83.007460284002,53.875836,8
