r/R,UzMean,Tmean,RSS,THFr,TKE,Pk,Bk
1,0.0061131,267.693125,2.10E-07,0.07646693125,5.50E-05,0.000835400625,0.028734729166667
0.996666666666667,0.010105679924242,268.732424242424,7.11E-07,0.318965839431818,0.00019668917803,0.002755230416667,0.045680871212121
0.993333333333333,0.023625271551724,270.528448275862,3.09E-06,1.70368190948276,0.000919838405172,0.011608850431035,0.115293025862069
0.99,0.036717064655172,272.317456896552,7.08E-06,4.32088405172414,0.002267577586207,0.025536642241379,0.197180431034483
0.986666666666667,0.049591267857143,274.181696428571,1.24E-05,8.05199303571429,0.004296465178571,0.042662165178571,0.296377455357143
0.983333333333333,0.062550607758621,276.126810344828,1.85E-05,11.8355515086207,0.007138779741379,0.059679297413793,0.423242931034483
0.98,0.075624344827586,278.21900862069,2.44E-05,14.1128673465517,0.010920702155172,0.072649957758621,0.588754870689655
0.976666666666667,0.086284779411765,279.783382352941,2.54E-05,9.55048286764706,0.014729860294118,0.067296653676471,0.762730588235294
0.973333333333333,0.094058516304348,281.39277173913,2.89E-05,8.2825575326087,0.018110369565217,0.070867255978261,0.9273675
0.97,0.105292199074074,283.466203703704,2.52E-05,-8.13673581018518,0.02355925,0.045276237175926,1.20856087962963
0.966666666666667,0.116984444444444,285.833287037037,1.56E-05,-43.1912886342593,0.030515101851852,-0.001660852222222,1.61765925925926
0.963333333333333,0.1262353125,287.525078125,-1.01E-05,-100.19625,0.036727890625,-0.090466024140625,2.048825
0.96,0.133467391304348,289.440380434783,-1.98E-05,-150.108586956522,0.042581836956522,-0.128675253804348,2.51769130434783
0.956666666666667,0.143056770833333,291.850208333333,-7.00E-05,-295.849010416667,0.050180875,-0.272178483973958,3.33059895833333
0.953333333333333,0.151004765625,293.589921875,-0.0001494319375,-519.529921875,0.05714028125,-0.4757309296875,4.35579296875
0.95,0.158354663461539,295.836875,-0.000219807884663,-849.417644230769,0.064661057692308,-0.635199057692308,5.90043221153846
0.9450,0.168614083333333,298.814291666667,-0.000426206566667,-1849.807125,0.071290629166667,-1.06467816666667,9.39892833333334
0.94,0.179218318965517,301.803663793104,-0.000742520560345,-3824.0250,0.07381724137931,-1.66686521551724,14.8177155172414
0.9350,0.1893534375,304.5403125,-0.001110704151786,-6508.36473214286,0.070794075892857,-2.27843928571428,19.6144642857143
0.93,0.199154137931035,307.090560344828,-0.001455427974138,-8970.09267241379,0.065300487068966,-2.68097456896552,21.6192672413793
0.9250,0.207584456521739,309.386195652174,-0.001679282119565,-10283.8157608696,0.059582864130435,-2.71248804347826,20.7672826086957
0.92,0.214014322916667,311.255989583333,-0.001757114583333,-10559.4807291667,0.055752791666667,-2.490665625,18.73383125
0.9150,0.22004645,313.3397,-0.00177290335,-10129.5150,0.05253693,-2.116939,16.0238565
0.91,0.225455048076923,315.470721153846,-0.001702461971154,-9136.67836538461,0.048445216346154,-1.66528057692308,12.8358740384615
0.9050,0.230104375,317.568942307692,-0.001603381442308,-7992.93846153846,0.044371009615385,-1.26890783653846,9.92609134615385
0.9,0.2344824609375,319.69359375,-0.001528793007813,-6999.515625,0.0409411953125,-0.958875078125,7.64456171875
0.89,0.23882784375,322.21834375,-0.0014441576875,-6045.393125,0.036608640625,-0.665127125,5.4658321875
0.88,0.242602470930232,324.877848837209,-0.00136918877907,-5331.0363372093,0.032810093023256,-0.425507587209302,3.83644563953488
0.87,0.245453541666667,327.156517857143,-0.001364229255952,-5025.4806547619,0.029826324404762,-0.272170002976191,2.85529761904762
0.86,0.247361714285714,328.980107142857,-0.001363561785714,-4838.67571428571,0.027172792857143,-0.168594742857143,2.18125321428572
0.85,0.248582152777778,330.412465277778,-0.001373005833333,-4737.32499999999,0.025426131944445,-0.101447326041667,1.75544649305556
0.84,0.249467178571429,331.629142857143,-0.001383501,-4654.95535714286,0.024086657142857,-0.05265865075,1.44234932142857
0.83,0.250080357142857,332.643321428571,-0.001387191071429,-4582.06357142857,0.023026975,-0.017636042785714,1.20437582142857
0.82,0.2504712890625,333.47140625,-0.001368640664063,-4497.925390625,0.02217228515625,0.006974415368242,1.0170521875
0.81,0.2507448046875,334.14203125,-0.001325155585938,-4414.37265625,0.02148510546875,0.023669107761719,0.870900781250001
0.8,0.250899758064516,334.721693548387,-0.001275207822581,-4324.20201612904,0.020946959677419,0.035104921693548,0.752120967741936
0.79,0.250980357142857,335.1975,-0.001202398794643,-4228.12008928571,0.020520276785714,0.042485909821429,0.657129955357143
0.78,0.251010086206896,335.603146551724,-0.001112659051724,-4130.26379310345,0.020174599137931,0.047136206896552,0.578514784482759
0.77,0.250992824074074,335.962453703704,-0.00101220875,-4019.53981481482,0.019882731481482,0.049841833333333,0.51062125
0.76,0.251004768518518,336.260138888889,-0.000916407546296,-3936.06296296296,0.01966187037037,0.051528490740741,0.45545212962963
0.75,0.250924326923077,336.5475,-0.000801256096154,-3823.35528846154,0.019436692307692,0.051809807692308,0.402943221153846
0.74,0.250877824074074,336.797129629629,-0.000676336856481,-3725.53333333333,0.01925649537037,0.051505578703704,0.356986990740741
0.73,0.250820324074074,337.032777777778,-0.000548756247685,-3627.82638888889,0.019106421296296,0.050726023148148,0.315574675925926
0.72,0.250789625,337.2261875,-0.000341894027125,-3532.59625,0.018944775,0.04819065625,0.27549675
0.71,0.250699427083333,337.385364583333,-0.000282527036458,-3462.471875,0.018921536458333,0.0480683125,0.254057760416667
0.7,0.250620416666667,337.569722222222,-0.000153076365741,-3362.19537037037,0.018832537037037,0.04686787962963,0.224117462962963
